,Class,Post_NM,ADDR,ADDR_Road,경도,위도
57,서울지방우정청,서울제기2동우편취급국,서울특별시 동대문구 제기동 1151-9,서울특별시 동대문구 안암로 86,127.0305038,37.5833429
58,서울지방우정청,서울용두1동우편취급국,서울특별시 동대문구 용두동 790,서울특별시 동대문구 정릉천동로 58,127.0357739,37.5772496
59,서울지방우정청,서울시립대학교우편취급국,서울특별시 동대문구 전농동 694,서울특별시 동대문구 서울시립대로 163,127.0600071,37.5825812
60,서울지방우정청,경희대학교우편취급국,서울특별시 동대문구 회기동 1-5,서울특별시 동대문구 경희대로 26,127.0525009,37.5964494
61,서울지방우정청,한국외국어대학교우편취급국,서울특별시 동대문구 이문동 270-1,서울특별시 동대문구 이문로 107,127.0582878,37.5973078
62,서울지방우정청,서울답십리우편취급국,서울특별시 동대문구 답십리동 483-39,서울특별시 동대문구 황물로 103,127.051525,37.569628
63,서울지방우정청,서울광진우체국,서울특별시 광진구 구의3동 587,서울특별시 광진구 강변역로 2,127.0903488,37.5378744
64,서울지방우정청,서울성동우체국,서울특별시 성동구 행당1동 284,서울특별시 성동구 왕십리로 303,127.0347148,37.5608737
65,서울지방우정청,서울뚝섬우체국,서울특별시 성동구 성수1가1동 33-29,서울특별시 성동구 뚝섬로3길 14,127.0496402,37.541421
66,서울지방우정청,서울금호동우체국,서울특별시 성동구 금호동2가 223,서울특별시 성동구 금호로11길 2,127.0196677,37.5548291
67,서울지방우정청,서울화양동우체국,서울특별시 광진구 화양동 18-10,서울특별시 광진구 광나루로 356,127.0694256,37.5479393
68,서울지방우정청,서울중곡동우체국,서울특별시 광진구 중곡2동 43-5,서울특별시 광진구 긴고랑로 68,127.083282,37.561536
69,서울지방우정청,서울용답동우체국,서울특별시 성동구 용답동 228-5,서울특별시 성동구 천호대로 378,127.0608705,37.5616942
70,서울지방우정청,서울왕십리우체국,서울특별시 성동구 홍익동 356,서울특별시 성동구 마장로 194,127.0313341,37.5664715
71,서울지방우정청,서울자양동우체국,서울특별시 광진구 자양2동 636-7,서울특별시 광진구 뚝섬로 640,127.0805693,37.5315082
72,서울지방우정청,서울마장동우체국,서울특별시 성동구 마장동 523-3,서울특별시 성동구 고산자로 352,127.0382046,37.5709028
73,서울지방우정청,서울한양대학교우체국,서울특별시 성동구 사근동 110,서울특별시 성동구 왕십리로 222,127.0466112,37.5545036
74,서울지방우정청,서울건국대학교우체국,서울특별시 광진구 화양동 1,서울특별시 광진구 능동로 120,127.0759546,37.5438883
75,서울지방우정청,서울대림아파트우편취급국,서울특별시 성동구 응봉동 100 대림종합상가 203호,서울특별시 성동구 독서당로 434,127.034084,37.5539121
76,서울지방우정청,서울옥수동우편취급국,서울특별시 성동구 옥수동 436,서울특별시 성동구 독서당로 173,127.0109203,37.5415617
77,서울지방우정청,서울성수아파트우편취급국,서울특별시 성동구 성수2가 289-4 ,서울특별시 성동구 아차산로7길 28,127.0554616,37.5475886
78,서울지방우정청,서울능동우편취급국,서울특별시 광진구 군자동 48-45,서울특별시 광진구 면목로 17-1,127.0756241,37.5558362
79,서울지방우정청,서울경안우편취급국,서울특별시 광진구 구의동 70-6,서울특별시 광진구 자양로 242,127.0888071,37.5479959
80,서울지방우정청,서울테크노마트우편취급국,서울특별시 광진구 구의동 546-4 ,서울특별시 광진구 광나루로56길 85,127.0957093,37.5357263
81,서울지방우정청,서울광나루우편취급국,서울특별시 광진구 광장동 330-8 ,서울특별시 광진구 광장로 80,127.1060223,37.5477137
82,서울지방우정청,서울중곡3동우편취급국,서울특별시 광진구 중곡3동 607-10 ,서울특별시 광진구 용마산로 189,127.0858956,37.5706245
83,서울지방우정청,서울성수노룬산우편취급국,서울특별시 광진구 자양동 6-15,서울특별시 광진구 아차산로30길 25,127.0674049,37.5395462
84,서울지방우정청,서울장로회신학대학교우편취급국,서울특별시 광진구 광장동 353 ,서울특별시 광진구 광장로5길 25-1,127.1040572,37.5503345
85,서울지방우정청,세종대학교우편취급국,서울특별시 광진구 군자동 98,서울특별시 광진구 능동로 209,127.073884,37.5514706
86,서울지방우정청,서울관악우체국,서울특별시 관악구 신림동 1412-2,서울특별시 관악구 남부순환로 1643,126.9331523,37.4850209
87,서울지방우정청,서울봉천동우체국,서울특별시 관악구 성현동 7-270,서울특별시 관악구 관악로 249-1,126.9567214,37.4867894
88,서울지방우정청,서울신림동우체국,서울특별시 관악구 대학동 244-20,서울특별시 관악구 대학5길 38,126.9399768,37.4691578
89,서울지방우정청,서울난곡우체국,서울특별시 관악구 미성동 1476-53,서울특별시 관악구 난곡로 275,126.9149243,37.4785561
90,서울지방우정청,서울대학교우체국,서울특별시 관악구 대학동 산56-1,서울특별시 관악구 관악로 1,126.9522394,37.464007
91,서울지방우정청,서울행운동우체국,서울특별시 관악구 행운동 1666-43,서울특별시 관악구 남부순환로 1841,126.9547293,37.4808609
92,서울지방우정청,서울은천동우체국,서울특별시 관악구 은천동 935-3,서울특별시 관악구 봉천로27길 58,126.9416854,37.4858446
93,서울지방우정청,서울신림동부우편취급국,서울특별시 관악구 신원동 1636-45,서울특별시 관악구 문성로31길 38,126.9284944,37.4806763
94,서울지방우정청,서울관악신사동우편취급국,서울특별시 관악구 신사동 504-1,서울특별시 관악구 조원로 118,126.915537,37.4850306
95,서울지방우정청,서울낙성대우편취급국,서울특별시 관악구 봉천동 1631-16,서울특별시 관악구 낙성대역3길 17,126.9624753,37.4759354
96,서울지방우정청,서울관악삼성동우편취급국,서울특별시 관악구 삼성동 307-6,서울특별시 관악구 호암로 526,126.9317372,37.4645345
97,서울지방우정청,서울보라매우편취급국,서울특별시 관악구 보라매동 729-32,서울특별시 관악구 보라매로3길 29,126.9249903,37.4912113
98,서울지방우정청,서울청룡동우편취급국,서울특별시 관악구 봉천동 1584-5,서울특별시 관악구 쑥고개로 88,126.9463046,37.4791484
99,서울지방우정청,서울봉천역전우편취급국,서울특별시 관악구 청룡동 930-42,서울특별시 관악구 남부순환로 1722,126.941287,37.4822766
100,서울지방우정청,서울남현동우편취급국,서울특별시 관악구 남현동 1065-33,서울특별시 관악구 남부순환로272길 38,126.9782585,37.4748461
101,서울지방우정청,서울마포우체국,서울특별시 마포구 도화동 572,서울특별시 마포구 마포대로 89,126.9497967,37.5432405
102,서울지방우정청,서울서교동우체국,서울특별시 마포구 서교동 394-43,서울특별시 마포구 양화로 62,126.9156719,37.5503711
103,서울지방우정청,서울서부지방법원우체국,서울특별시 마포구 공덕동 105-1,서울특별시 마포구 마포대로 174,126.9554886,37.5489952
104,서울지방우정청,서울창전동우체국,서울특별시 마포구 창전동 95-23,서울특별시 마포구 독막로 109,126.9258756,37.548146
105,서울지방우정청,서울성산동우체국,서울특별시 마포구 성산동 108-3,서울특별시 마포구 월드컵북로 112,126.9138668,37.5634053
106,서울지방우정청,서울아현동우체국,서울특별시 마포구 아현동 330-3,서울특별시 마포구 신촌로 266,126.9551484,37.5570846
107,서울지방우정청,서울성산2동우체국,서울특별시 마포구 성산동 452,서울특별시 마포구 월드컵북로 227,126.9035077,37.5695661
108,서울지방우정청,서울상암디지털우체국,서울특별시 마포구 상암동 1685,서울특별시 마포구 상암산로1길 75,126.8832974,37.5806023
109,서울지방우정청,서울공덕2동우편취급국,서울특별시 마포구 공덕동 119-43,서울특별시 마포구 마포대로14길 14-1,126.9561379,37.5483036
110,서울지방우정청,서울도화동우편취급국,서울특별시 마포구 도화동 288-1,서울특별시 마포구 삼개로 24,126.9472545,37.5380811
111,서울지방우정청,서울용강동우편취급국,서울특별시 마포구 용강동 115-23,서울특별시 마포구 토정로 277,126.940645,37.5421941
112,서울지방우정청,서울대흥동우편취급국,서울특별시 마포구 대흥동 198-1,서울특별시 마포구 백범로17길 3,126.9436609,37.5474418
113,서울지방우정청,서울노고산우편취급국,서울특별시 마포구 노고산동 31-24,서울특별시 마포구 백범로1길 18,126.9379718,37.5546305
114,서울지방우정청,서울신수동우편취급국,서울특별시 마포구 신수동 371-22,서울특별시 마포구 신수로 46,126.934495,37.545736
115,서울지방우정청,서울동교동우편취급국,서울특별시 마포구 동교동 179-28,서울특별시 마포구 신촌로4길 3,126.9287595,37.5576869
116,서울지방우정청,서울성산유원우편취급국,서울특별시 마포구 성산동 137-4,서울특별시 마포구 월드컵북로26길 17,126.9111764,37.5674103
117,서울지방우정청,서울상암동우편취급국,서울특별시 마포구 상암동 115-1,서울특별시 마포구 월드컵북로 352,126.893198,37.5769287
118,서울지방우정청,서강대학교우편취급국,서울특별시 마포구 신수동 1-1,서울특별시 마포구 백범로 35,126.9410634,37.5517132
119,서울지방우정청,서울망원동우편취급국,서울특별시 마포구 망원동 421-35 (망원빌딩) 1충,서울특별시 마포구 망원로 49,126.9022362,37.5569401
120,서울지방우정청,서울은평우체국,서울특별시 은평구 진관동 77,서울특별시 은평구 진관2로 29-8,126.9206159,37.6354275
121,서울지방우정청,서울수색우체국,서울특별시 은평구 수색동 101-7,서울특별시 은평구 수색로 248,126.8965598,37.5817602
122,서울지방우정청,서울대조동우체국,서울특별시 은평구 대조동 84-113,서울특별시 은평구 통일로71길 20,126.926721,37.6128763
123,서울지방우정청,서울응암동우체국,서울특별시 은평구 응암3동 576-37,서울특별시 은평구 응암로 214,126.9176766,37.5909975
124,서울지방우정청,서울응암1동우체국,서울특별시 은평구 응암1동 89-1,서울특별시 은평구 은평로9길 13,126.921243,37.601428
125,서울지방우정청,서울갈현동우체국,서울특별시 은평구 갈현2동 489-5,서울특별시 은평구 서오릉로 190,126.9125724,37.6136992
126,서울지방우정청,서울연신내우체국,서울특별시 은평구 불광2동 123-1,서울특별시 은평구 연서로 306,126.9275572,37.6226848
127,서울지방우정청,서울역촌동우편취급국,서울특별시 은평구 역촌동 50-55,서울특별시 은평구 갈현로 94,126.9107551,37.606324
128,서울지방우정청,서울녹번동우편취급국,서울특별시 은평구 녹번동 5,서울특별시 은평구 통일로 684,126.9341572,37.6087643
129,서울지방우정청,서울불광2동우편취급국,서울특별시 은평구 불광2동 312-70,서울특별시 은평구 통일로80길 15,126.9221284,37.6203192
130,서울지방우정청,서울갈현1동우편취급국,서울특별시 은평구 갈현1동 434-4,서울특별시 은평구 갈현로 277,126.9165869,37.6216642
131,서울지방우정청,서울신사미성우편취급국,서울특별시 은평구 신사2동 358 ,서울특별시 은평구 은평터널로7길 2,126.9060892,37.5932491
132,서울지방우정청,서울영등포우체국,서울특별시 영등포구 당산동4가 93-6,서울특별시 영등포구 선유동2로 6,126.8949452,37.5296612
133,서울지방우정청,서울영등포동4가우체국,서울특별시 영등포구 영등포동4가 425-2,서울특별시 영등포구 경인로 841,126.90606,37.5165276
134,서울지방우정청,여의도우체국,서울특별시 영등포구 여의도동 35-1,서울특별시 영등포구 여의나루로 60,126.9262252,37.5223003
135,서울지방우정청,서울여의도광장우체국,서울특별시 영등포구 여의도동 14-26 영산빌딩,서울특별시 영등포구 국회대로68길 7,126.9195086,37.5294792
136,서울지방우정청,국회구내우체국,서울특별시 영등포구 여의도동 1 국회,서울특별시 영등포구 의사당대로 1,126.9142029,37.531917
137,서울지방우정청,서울양평동우체국,서울특별시 영등포구 양평동4가 153-31,서울특별시 영등포구 양평로 92,126.8971166,37.5365237
138,서울지방우정청,서울신길동우체국,서울특별시 영등포구 신길동 638,서울특별시 영등포구 여의대방로 161,126.9205667,37.501586
139,서울지방우정청,서울대림동우체국,서울특별시 영등포구 대림동 990-45,서울특별시 영등포구 대림로 85,126.9045458,37.4896503
140,서울지방우정청,서울신길5동우체국,서울특별시 영등포구 신길동 446-3,서울특별시 영등포구 신길로 65,126.9079983,37.4984475
141,서울지방우정청,서울문래동우체국,서울특별시 영등포구 문래동2가 14-56,서울특별시 영등포구 도림로 429,126.8951495,37.5139006
142,서울지방우정청,한국방송공사우편취급국,서울특별시 영등포구 여의도동 18 한국방송공사,서울특별시 영등포구 여의공원로 13,126.9167286,37.5259724
143,서울지방우정청,한화생명빌딩우체국,서울특별시 영등포구 여의도동 60 63한화생명빌딩,서울특별시 영등포구 63로 50,126.9403139,37.5198158
144,서울지방우정청,서울여의대방로우편취급국,서울특별시 영등포구 여의도동 44-35 제일빌딩208-209호,서울특별시 영등포구 여의대방로 379,126.9309372,37.5191451
145,서울지방우정청,서울영등포3동우편취급국,서울특별시 영등포구 영등포동5가 49-1 현대프라자 1층,서울특별시 영등포구 양산로 214,126.9067672,37.5222149
146,서울지방우정청,서울당산2동우편취급국,서울특별시 영등포구 당산동4가 32-52,서울특별시 영등포구 당산로 172-1,126.8988508,37.5296486
147,서울지방우정청,서울영등포시범A우편취급국,서울특별시 영등포구 당산동 121-17 양용빌딩,서울특별시 영등포구 버드나루로19길 3,126.9077167,37.5284068
148,서울지방우정청,서울신길2동우편취급국,서울특별시 영등포구 신길동 192-2,서울특별시 영등포구 도신로 195,126.9130068,37.5115169
149,서울지방우정청,서울신길3동우편취급국,서울특별시 영등포구 신길동 370-20,서울특별시 영등포구 가마산로51길 1,126.9006988,37.5034389
150,서울지방우정청,서울신길7동우편취급국,서울특별시 영등포구 신길동 1300 2층2호,서울특별시 영등포구 영등포로 422,126.9248167,37.5123945
151,서울지방우정청,서울대림1동우편취급국,서울특별시 영등포구 대림동 700-4,서울특별시 영등포구 대림로 146,126.9007881,37.4941694
152,서울지방우정청,서울문래현대A우편취급국,서울특별시 영등포구 문래동6가 45 ,서울특별시 영등포구 문래로4길 4,126.8835362,37.5203822
153,서울지방우정청,서울양평1가우편취급국,서울특별시 영등포구 양평동1가 209-4,서울특별시 영등포구 선유서로26길 24,126.8884799,37.5238547
154,서울지방우정청,서울전경련우편취급국,서울특별시 영등포구 여의도동 28-1 전국경제인연합회회관 지하1층,서울특별시 영등포구 여의대로 24,126.919944,37.5221784
155,서울지방우정청,서울강남우체국,서울특별시 강남구 개포동 14-4 ,서울특별시 강남구 개포로 619,127.0781374,37.4935823
156,서울지방우정청,서울논현동우체국,서울특별시 강남구 논현2동 208-5,서울특별시 강남구 학동로 212,127.0325316,37.514067
157,서울지방우정청,서울무역센터우체국,서울특별시 강남구 삼성1동 159번지 코엑스몰 지하1층,서울특별시 강남구 영동대로 511,127.0610361,37.5103617
158,서울지방우정청,서울역삼동우체국,서울특별시 강남구 역삼동 809-16 남영빌딩 3층,서울특별시 강남구 강남대로 458,127.0254743,37.5034185
159,서울지방우정청,서울역삼1동우체국,서울특별시 강남구 역삼1동 647-9번지 ,서울특별시 강남구 테헤란로 131,127.0329295,37.5000693
